constituency,ac_number,candidate,party,votes,turnout,reserved,region,vote_share_%
Gummidipundi,1,GOVINDARAJAN T.J,DMK,126452,78.08,GEN,Chennai Metro,56.94266196542516
Gummidipundi,1,PRAKASH M,PMK,75514,78.08,GEN,Chennai Metro,34.004746272554925
Gummidipundi,1,USHA,NTK,11701,78.08,GEN,Chennai Metro,5.269083032751082
Gummidipundi,1,DILLIY K.M,DMDK,2576,78.08,GEN,Chennai Metro,1.1599998198758044
Gummidipundi,1,NONE OF THE ABOVE,NOTA,1783,78.08,GEN,Chennai Metro,0.8029036020336021
Gummidipundi,1,NAGARAJ S,BSP,1038,78.08,GEN,Chennai Metro,0.4674222876673466
Gummidipundi,1,SARAVANAN V,IJK,816,78.08,GEN,Chennai Metro,0.36745335909109333
Gummidipundi,1,SARAVANAN E,IND,532,78.08,GEN,Chennai Metro,0.23956518019174222
Gummidipundi,1,DEVANATHAN R,IND,482,78.08,GEN,Chennai Metro,0.2170496557376311
Gummidipundi,1,LAKSHMI R,IND,374,78.08,GEN,Chennai Metro,0.1684161229167511
Gummidipundi,1,PRAKASH K,IND,351,78.08,GEN,Chennai Metro,0.15805898166785998
Gummidipundi,1,GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,78.08,GEN,Chennai Metro,0.11437886422688444
Gummidipundi,1,PRAKASH M,IND,196,78.08,GEN,Chennai Metro,0.08826085586011555
Ponneri,2,DURAI. CHANDRASEKAR,INC,94528,78.2,SC,Chennai Metro,44.9375814103844
Ponneri,2,BALARAMAN. P,AIADMK,84839,78.2,SC,Chennai Metro,40.331536362512715
Ponneri,2,MAHESWARI. A,NTK,19027,78.2,SC,Chennai Metro,9.045228519543246
Ponneri,2,DESINGURAJAN. D,MNM,5394,78.2,SC,Chennai Metro,2.564248837673636
Ponneri,2,PON. RAJA,AMMK,2832,78.2,SC,Chennai Metro,1.3463019481445564
Ponneri,2,NONE OF THE ABOVE,NOTA,1554,78.2,SC,Chennai Metro,0.7387546706979663
Ponneri,2,BHAVANI ILAVENIL. J,BSP,1106,78.2,SC,Chennai Metro,0.5257803512174715
Ponneri,2,ASHOK PRIYADARSHAN. S,IND,470,78.2,SC,Chennai Metro,0.2234328798121262
Ponneri,2,SUGUMAR. K,IND,298,78.2,SC,Chennai Metro,0.14166595358300768
Ponneri,2,VIJAYAKUMAR. V,Anna MGR Dravida Makkal Kalgam,190,78.2,SC,Chennai Metro,0.09032393013681699
Ponneri,2,SAMBATH KUMAR.C.H,IND,116,78.2,SC,Chennai Metro,0.05514513629405668
Tiruttani,3,S.CHANDRAN,DMK,120314,78.76,GEN,Chennai Metro,51.72037279042575
Tiruttani,3,G.HARI,AIADMK,91061,78.76,GEN,Chennai Metro,39.145144095192244
Tiruttani,3,L.AKILA,NTK,12007,78.76,GEN,Chennai Metro,5.161548249535731
Tiruttani,3,D.KRISHNAMOORTHI,DMDK,3928,78.76,GEN,Chennai Metro,1.6885617992984387
Tiruttani,3,NONE OF THE ABOVE,NOTA,1665,78.76,GEN,Chennai Metro,0.7157473003645368
Tiruttani,3,D.PAULRAJ,IND,889,78.76,GEN,Chennai Metro,0.3821617717862302
Tiruttani,3,V.P.VIJAYAN,IND,768,78.76,GEN,Chennai Metro,0.33014650251048905
Tiruttani,3,N.MAGENDIRAN,BSP,717,78.76,GEN,Chennai Metro,0.3082227113281519
Tiruttani,3,M.HARI,IND,366,78.76,GEN,Chennai Metro,0.15733544260265492
Tiruttani,3,M.D.THANIGAI MALAI,IJK,353,78.76,GEN,Chennai Metro,0.15174702524245132
Tiruttani,3,A.J.SURESH,IND,182,78.76,GEN,Chennai Metro,0.07823784304285027
Tiruttani,3,SHETTU,IND,147,78.76,GEN,Chennai Metro,0.06319210399614829
Tiruttani,3,MANIKKAM,All India Jananayaka Makkal Kazhagam,121,78.76,GEN,Chennai Metro,0.052015269275741106
Tiruttani,3,CHANDRAN,IND,60,78.76,GEN,Chennai Metro,0.025792695508631957
Tiruttani,3,CHANDRAN,IND,46,78.76,GEN,Chennai Metro,0.019774399889951166
Thiruvallur,4,"RAAJENDRAN, V.G.",DMK,107709,77.2,GEN,Chennai Metro,50.274221328118074
Thiruvallur,4,"RAMANAH, BE VEE",AIADMK,85008,77.2,GEN,Chennai Metro,39.678309209635785
Thiruvallur,4,"PASUPATHY, P.",NTK,15028,77.2,GEN,Chennai Metro,7.014464883333411
Thiruvallur,4,"DOSS, D.",BSP,2329,77.2,GEN,Chennai Metro,1.0870833586161508
Thiruvallur,4,NONE OF THE ABOVE,NOTA,1872,77.2,GEN,Chennai Metro,0.8737741723183488
Thiruvallur,4,"GURU, N.",AMMK,1077,77.2,GEN,Chennai Metro,0.5027002049075115
Thiruvallur,4,"RAJENDIRAN, G.",IND,388,77.2,GEN,Chennai Metro,0.18110276648478596
Thiruvallur,4,"REVATHI, R.",IND,283,77.2,GEN,Chennai Metro,0.13209299720410933
Thiruvallur,4,"BALA KRISHNAN, N.",IND,232,77.2,GEN,Chennai Metro,0.10828825212492357
Thiruvallur,4,"KUMAR, E.",IND,133,77.2,GEN,Chennai Metro,0.06207904108885704
Thiruvallur,4,"RAMANAN, R.",IND,97,77.2,GEN,Chennai Metro,0.04527569162119649
Thiruvallur,4,"SASIKUMAR, J.",IND,87,77.2,GEN,Chennai Metro,0.040608094546846336
Poonamallee,5,KRISHNASWAMY A,DMK,149578,72.99,SC,Chennai Metro,56.71504838171505
Poonamallee,5,RAJAMANNAR S X,PMK,55468,72.99,SC,Chennai Metro,21.031637698304365
Poonamallee,5,MANIMEKALAI A,NTK,29871,72.99,SC,Chennai Metro,11.326098826098827
Poonamallee,5,REVATHI MANIMEGALAI J,MNM,11927,72.99,SC,Chennai Metro,4.5223253556586895
Poonamallee,5,ELUMALAI T.A.,AMMK,8805,72.99,SC,Chennai Metro,3.3385658385658386
Poonamallee,5,SATHYAMURTHY A C,BSP,2891,72.99,SC,Chennai Metro,1.0961719295052628
Poonamallee,5,NONE OF THE ABOVE,NOTA,2867,72.99,SC,Chennai Metro,1.0870719204052537
